Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Etiological Agent2,Date Outbreak Began,Date Declared Over,Active,
McCall Centre for Continuing Care - 3rd Fl Rehab,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Unable to identify,,2017-10-17,2017-10-26,N,
Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-10-16,2017-10-29,N,
Fudger House - 1 West Unit & 3 West Unit,439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2017-10-11,2017-10-26,N,
Centre for Addiction and Mental Health - Queen Site - GAU-B,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2017-10-09,2017-10-26,N,
Seven Oaks - 4th Fl - LTCH,9 Neilson Rd,LTCH,Respiratory,Unable to identify,,2017-09-27,2017-10-04,N,
Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza type 2,,2017-09-26,2017-10-05,N,
Better Living At Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,,2017-09-15,2017-09-26,N,
Bendale Acres - 1st Fl West & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-09-14,2017-09-27,N,
Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,,2017-09-13,2017-09-25,N,
Extendacare Rouge Valley,551 Conlins Rd,LTCH,Enteric,Norovirus-like,,2017-09-13,2017-09-20,N,
Providence Healthcare - Houses of Providence - HOP 1 West,3276 St Clair Ave E - Balsam & Maple,LTCH,Respiratory,Rhinovirus,,2017-09-12,2017-09-20,N,
The Wexford - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-09-12,2017-09-26,N,
Cummer Lodge - 3rd Fl North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,,2017-09-12,2017-10-10,N,
Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Rhinovirus,,2017-09-11,2017-09-19,N,
Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Rhinovirus,,2017-09-08,2017-09-20,N,
Providence Healthcare - Houses of Providence - HOP 3 & 4,3276 St Clair Ave E,LTCH,Enteric,Norovirus-like,,2017-09-07,2017-09-19,N,
The Scarborough and Rouge Hospital - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Rhinovirus,Parainfluenza type 4,2017-08-30,2017-09-07,N,
The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Rhinovirus,,2017-08-30,2017-09-18,N,
West Park Long Term Care Centre - Humber & York Unit,82 Buttonwood Ave,LTCH,Respiratory,Rhinovirus,,2017-08-28,2017-09-14,N,
The Heritage Nursing Home - 2nd & 4th Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,,2017-08-28,2017-09-12,N,
Humber Valley Terrace - 1st Fl,95 Humber College Blvd,LTCH,Respiratory,Unable to identify,,2017-08-21,2017-08-31,N,
Yee Hong Centre for Geriatric Care -Finch Site-3rd & 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza type 4,,2017-08-20,2017-09-03,N,
Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Rhinovirus,,2017-08-18,2017-09-08,N,
Seniors' Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,Rhinovirus,,2017-08-17,2017-08-31,N,
The Hospital for Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2017-08-17,2017-08-25,N,
Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Rhinovirus,,2017-08-14,2017-09-05,N,
Midland Gardens Community Care,130 Midland Ave,LTCH,Respiratory,Rhinovirus,,2017-08-13,2017-09-13,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2017-08-11,2017-09-13,N,
Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,,2017-08-11,2017-08-24,N,
"Forest Hill Place - 3rd, 4th, 8th Fl",645 Castlefield Ave,Retirement Home,Respiratory,Enterovirus/Rhinovirus,,2017-08-09,2017-08-16,N,
Village of Humber Heights - Islington,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,,2017-08-09,2017-09-06,N,
Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-08-09,2017-08-18,N,
Altamont Care Community,92 Island Rd,LTCH,Respiratory,Rhinovirus,,2017-08-09,2017-08-26,N,
Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-08-07,2017-08-18,N,
Mon Sheong Scarborough Long Term Care Home - 1st Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),Rhinovirus,2017-08-05,2017-08-26,N,
Centre for Addiction and Mental Health - Queen Street Site -,1001 Queen St W - 80 Workman Way - 2nd Fl GAU-A,Hospital-Chronic Care,Enteric,Unable to identify,,2017-08-04,2017-08-09,N,
Yee Hong Centre for Geriatric Care - McNicoll Site,2311 McNicoll Ave,LTCH,Respiratory,Adenovirus,Rhinovirus,2017-08-04,2017-08-11,N,
Westside,1145 Albion Rd,LTCH,Respiratory,Rhinovirus,,2017-08-04,2017-08-21,N,
Weston Terrace Care Community - Franklin Carmichael Unit,2005 Lawrence Ave W - 1st Fl,LTCH,Respiratory,Unable to identify,,2017-08-03,2017-08-11,N,
Valleyview Residence - 4th Fl,541 Finch Ave W,LTCH,Respiratory,Parainfluenza type 4,,2017-08-01,2017-08-18,N,
Bridgepoint Active Healthcare - 6 South,14 St Matthews Rd,Hospital-Chronic Care,Enteric,Unable to identify,,2017-08-01,2017-08-14,N,
Baycrest Apotex - 5 EI,3560 Bathurst St,LTCH,Respiratory,Rhinovirus,,2017-08-01,2017-08-10,N,
Shepherd Lodge - 7th Fl,3760 Sheppard Ave E,LTCH,Respiratory,Rhinovirus,,2017-07-31,2017-08-09,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,,2017-07-25,2017-08-28,N,
Harold and Grace Baker Retirement Residence,1 Northwestern Ave,Retirement Home,Respiratory,Rhinovirus,,2017-07-24,2017-08-06,N,
Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,,2017-07-17,2017-08-10,N,
Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,,2017-07-07,2017-07-21,N,
Chartwell Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,LTCH,Enteric,Unable to identify,,2017-07-06,2017-07-13,N,
Mon Sheong Scarborough Long Term Care Centre - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Unable to identify,,2017-07-05,2017-07-21,N,
Fudger House - 1 East Unit,439 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2017-07-04,2017-07-11,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-06-26,2017-07-24,N,
Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,LTCH,Respiratory,Rhinovirus,,2017-06-26,2017-07-05,N,
Centennial Park Place,25 Centennial Park Rd,Retirement Home,Enteric,Norovirus-like,,2017-06-21,2017-06-28,N,
Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2017-06-20,2017-07-04,N,
Deerwood Creek Care Community - 2A,70 Humberline Dr,LTCH,Respiratory,Parainfluenza type 3,,2017-06-16,2017-06-29,N,
St. Michael's Hospital - 8CS,30 Bond St,Hospital-Acute Care,Enteric,Clostridium difficile (Toxin B),,2017-06-14,2017-08-10,N,
The Heritage Nursing Home - 2nd Fl Unit,1195 Queen St E,LTCH,Respiratory,Rhinovirus,,2017-06-05,2017-06-23,N,
Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Parainfluenza type 3,,2017-06-02,2017-06-12,N,
The Hospital for Sick Children - NICU,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2017-06-01,2017-06-09,N,
Tendercare Living Centre - 2 East Unit & 2 West Unit,1020 McNicoll Ave,LTCH,Respiratory,Parainfluenza type 4,Rhinovirus,2017-06-01,2017-07-04,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-06-01,2017-06-12,N,
The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-05-30,2017-06-14,N,
Altamont Care Community,92 Island Rd,LTCH,Respiratory,Unable to identify,,2017-05-29,2017-06-07,N,
Cedarvale Terrace - 4th & 6th Fl,429 Walmer Rd,LTCH,Respiratory,Rhinovirus,,2017-05-29,2017-06-08,N,
Midland Gardens,130 Midland Ave,LTCH,Respiratory,Parainfluenza type 3,Rhinovirus,2017-05-28,2017-06-16,N,
Sunnybrook Health Sciences Centre - LGSE & LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2017-05-28,2017-06-13,N,
The O'Neill Centre - 2nd Fl,33 Christie St,LTCH,Respiratory,Influenza A (H3),,2017-05-28,2017-06-06,N,
Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2017-05-25,2017-06-03,N,
Copernicus Lodge - 6th Fl,66 Roncesvalles Ave,LTCH,Respiratory,Influenza B,,2017-05-25,2017-06-03,N,
Gibson Long Term Care Centre - Unit 2,1925 Steeles Ave E,LTCH,Respiratory,Metapneumovirus,Rhinovirus,2017-05-24,2017-05-30,N,
Cedarbrook Lodge,520 Markham Rd,Retirement Home,Enteric,Unable to identify,,2017-05-23,2017-05-29,N,
Shepherd Lodge - 3rd Fl,3760 Sheppard Ave E,LTCH,Respiratory,Unable to identify,,2017-05-23,2017-06-05,N,
Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza type 3,,2017-05-16,2017-06-01,N,
"Bendale Acres - 1 West Unit, 2 East Unit & 3rd Fl Unit",2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-05-16,2017-05-29,N,
Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,Enterovirus/Rhinovirus,2017-05-15,2017-05-31,N,
Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza B,,2017-05-10,2017-05-18,N,
Sunnybrook Health Sciences Centre - Ltch - K2w,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,2017-05-09,2017-05-17,N,
Kensington Gardens - North Building - 1 East & 1 West,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,Coronavirus,2017-05-08,2017-05-31,N,
Gibson Long Term Care Centre,1925 Steeles Ave E,LTCH,Respiratory,Influenza B,,2017-05-07,2017-05-24,N,
Hellenic Home - Unit 3A,2411 Lawrence Ave E,LTCH,Respiratory,Parainfluenza type 3,,2017-05-04,2017-05-11,N,
Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Respiratory,Coronavirus,,2017-05-04,2017-05-29,N,
Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2017-05-01,2017-06-05,N,
Kensington Gardens - North Building - 2 East,45 Brunswick Ave,LTCH,Respiratory,Rhinovirus,,2017-04-27,2017-05-06,N,
Norwood Nursing Home - 1st Fl,122 Tyndall Ave,LTCH,Respiratory,Influenza B,,2017-04-26,2017-05-05,N,
Castleview Wychwood Towers - 2nd & 3rd Fl,351 Christie St,LTCH,Respiratory,Parainfluenza type 3,,2017-04-20,2017-05-02,N,
Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza A (H3),,2017-04-19,2017-04-27,N,
Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Parainfluenza type 3,Respiratory syncytial virus,2017-04-19,2017-04-27,N,
Claremont Retirement Residence,305 Balliol St,Retirement Home,Respiratory,Metapneumovirus,Coronavirus,2017-04-18,2017-05-01,N,
Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Influenza A (H3N2),,2017-04-15,2017-04-26,N,
Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-04-12,2017-04-20,N,
Providence Healthcare - Unit D3,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2017-04-09,2017-04-16,N,
Scarborough And Rouge Hospital - Scarborough General Site -,3050 Lawrence Ave E - CP1,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2017-04-07,2017-04-24,N,
Cheltenham Care Community - 1st Fl,5935 Bathurst St,LTCH,Respiratory,Metapneumovirus,,2017-04-07,2017-04-16,N,
Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A (H3),"Enterovirus, Rhinovirus",2017-04-05,2017-04-20,N,
Chartwell Gibson Long Term Care - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2017-04-04,2017-04-19,N,
West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,,2017-04-04,2017-04-07,N,
Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Parainfluenza type 3,,2017-04-04,2017-04-19,N,
The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,"Rhinovirus, Coronavirus",Metapneumovirus,2017-04-03,2017-04-26,N,
Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Influenza B,,2017-04-03,2017-04-19,N,
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2017-04-03,2017-04-13,N,
Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2017-04-03,2017-04-17,N,
Belmont House - 5W,55 Belmont St,LTCH,Enteric,Unable to identify,,2017-04-03,2017-04-11,N,
Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Metapneumovirus,Parainfluenza type 3,2017-03-31,2017-04-11,N,
Providence Healthcare - Houses of Providence - 4th Fl,3276 St Clair Ave E,LTCH,Respiratory,Metapneumovirus,,2017-03-29,2017-04-16,N,
The Hospital for Sick Children - 6A & 6B,555 University Ave,Hospital-Acute Care,Respiratory,Metapneumovirus,,2017-03-29,2017-04-10,N,
Westside,1145 Albion Rd,LTCH,Respiratory,Influenza B,,2017-03-27,2017-04-17,N,
Downsview Long Term Care Centre - 2 Centre,3595 Keele St,LTCH,Respiratory,Influenza B,"Coronavirus, Enterovirus",2017-03-27,2017-04-10,N,
Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Influenza A (H3),Coronavirus,2017-03-27,2017-04-07,N,
Mon Sheong Home for the Aged - 5th Fl,36 D'Arcy St,LTCH,Respiratory,Coronavirus,,2017-03-26,2017-04-30,N,
Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2017-03-24,2017-04-08,N,
Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),,2017-03-23,2017-04-04,N,
Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,Metapneumovirus,2017-03-22,2017-04-09,N,
Sienna Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2017-03-21,2017-03-30,N,
Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (H3N2),,2017-03-20,2017-04-03,N,
Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Parainfluenza type 3,,2017-03-17,2017-04-05,N,
Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 Mcnicoll Ave,LTCH,Respiratory,Coronavirus,,2017-03-15,2017-03-30,N,
Suomi Koti - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Respiratory syncytial virus,Rhinovirus,2017-03-14,2017-04-03,N,
Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2017-03-14,2017-03-24,N,
Midland Gardens Care Community - 5th Fl,130 Midland Ave,LTCH,Enteric,Unable to identify,,2017-03-14,2017-03-20,N,
Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2017-03-14,2017-03-23,N,
Baycrest Centre for Geriatric Care - 3 West,3560 Bathurst St,Hospital-Chronic Care,Enteric,Unable to identify,,2017-03-14,2017-03-19,N,
St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,Rhinovirus,2017-03-14,2017-03-21,N,
West Park Long Term Care Centre - 3rd Fl,82 Buttonwood Ave,LTCH,Respiratory,Influenza B,"Parainfluenza type 3, Respiratory syncytial virus",2017-03-14,2017-04-04,N,
