Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Etiological Agent2,Date Outbreak Began,Date Declared Over,Active
Castleview Wychwood Towers - 4th & 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A (H3),,2018-03-24,,Y
Chartwell Grenadier Retirement Residence - Assisted Living,2100 Bloor St W,Retirement Home,Enteric,Pending,,2018-03-23,,Y
Scarborough and Rouge Hospital - Birchmount Site - Unit 3A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-03-23,2018-04-01,N
The Salvation Army - Toronto Grace Health Centre - 5th Fl,650 Church St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-03-23,2018-04-01,N
Villa Colombo - 3 Fidani,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-23,2018-03-31,N
Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-03-21,2018-04-03,N
Centre for Addiction and Mental Health- Queen Site- Unit 4-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-03-20,2018-03-27,N
Delmanor Wynford,187 Wynford Dr,Retirement Home,Enteric,Norovirus-like,,2018-03-20,,Y
Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-19,2018-03-29,N
Providence Healthcare - A4 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2018-03-19,2018-03-27,N
Rockcliffe Care Community - 1st & 2nd Fl,3015 Lawrence Ave E,LTCH,Enteric,Pending,,2018-03-19,,Y
Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-03-19,2018-03-31,N
Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza B,,2018-03-19,2018-03-30,N
Yee Hong Centre for Geriatric Care - McNicoll Site - 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-03-18,2018-03-30,N
Hillcrest Reactivation Centre - 4th Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-03-17,2018-03-25,N
The O'Neill Centre,33 Christie St,LTCH,Enteric,Norovirus-like,,2018-03-17,,Y
The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Influenza B,,2018-03-17,2018-03-28,N
Michael Garron Hospital - B2,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-03-16,2018-03-22,N
Sunnybrook Holland Orthopaedic and Arthritic Centre -HOAC 7E,43 Wellesley St E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-03-16,2018-03-26,N
Better Living at Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Pending,,2018-03-14,,Y
Sunnybrook Health Sciences Centre - LTSW & LTSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-14,2018-03-24,N
Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-13,2018-03-22,N
The Briton House Retirement Residence,700 & 720 Mount Pleasant Rd,Retirement Home,Enteric,Unable to identify,,2018-03-13,2018-03-26,N
The O'Neill Centre - 5th Fl,33 Christie St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-03-13,2018-03-20,N
Cummer Lodge - 2 South,205 Cummer Ave,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-03-12,2018-03-19,N
Seven Oaks,9 Neilson Rd,LTCH,Respiratory,Influenza B,,2018-03-12,2018-03-29,N
Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A (H3N2),,2018-03-12,2018-03-21,N
Weston Gardens Retirement Residence - 3rd & 4th Fl,303 Queens Dr,Retirement Home,Enteric,Unable to identify,,2018-03-12,2018-03-21,N
William Osler Health System - 10th Level,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2018-03-12,2018-03-16,N
Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A (H3),,2018-03-09,2018-03-19,N
McNicoll Manor - 5th Fl,1020 McNicoll Ave,Retirement Home,Respiratory,Influenza B,,2018-03-09,2018-03-13,N
Shepherd Lodge - 3rd Fl,3760 Sheppard Ave E,LTCH,Respiratory,Influenza A (H3),,2018-03-09,2018-03-23,N
Sunnybrook Health Sciences Centre - C6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza A (H3N2),,2018-03-09,2018-03-18,N
Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Influenza A (H3N2),,2018-03-08,2018-03-20,N
Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Influenza B,,2018-03-08,2018-03-23,N
Kipling Acres - Humber 1E & Pine Point 1W,2233 Kipling Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-08,2018-03-22,N
Centre for Addiction and Mental Health - Unit 3-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (H3N2),,2018-03-07,2018-03-19,N
Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2018-03-07,2018-03-26,N
Sunnybrook Health Sciences Centre - C6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,2018-03-07,,Y
St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-03-06,2018-03-16,N
North York Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Metapneumovirus,,2018-03-05,2018-03-18,N
Seaton House - 3rd & 4th Fl,339 George St,Shelter,Respiratory,Streptococcus pyogenes,,2018-03-05,,Y
Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),Influenza B,2018-03-05,2018-03-21,N
Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza B,,2018-03-02,2018-03-20,N
Princess Margaret Hospital - 17B,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-03-02,2018-03-09,N
The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Influenza B,,2018-03-02,2018-03-19,N
Villa Colombo - 2nd & 3rd Fusco,40 Playfair Ave,LTCH,Respiratory,Influenza A (H3),,2018-03-02,2018-03-20,N
Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Enteric,Norovirus-like,,2018-03-01,2018-03-13,N
Kensington Gardens South - 1 East & 1 West,25 Brunswick Ave,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-03-01,2018-03-19,N
St. Michael's Hospital - 7 CCV,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2018-03-01,2018-03-08,N
Chartwell Trilogy Long Term Care Residence - 4th & 5th Fl,340 McCowan Rd,LTCH,Respiratory,Influenza B,,2018-02-28,2018-03-15,N
Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Influenza B,,2018-02-28,2018-03-12,N
Providence Healthcare - Houses of Providence - 3rd Fl East -,3276 St Clair Ave E - & West,LTCH,Respiratory,Influenza A (Not subtyped),,2018-02-28,2018-03-09,N
V Care Retirement Home,8 Bridlington St,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-02-28,2018-03-07,N
Belmont House - 4th Fl,55 Belmont,LTCH,Respiratory,Influenza B,,2018-02-27,2018-03-05,N
Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-27,2018-03-05,N
Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2018-02-27,2018-03-12,N
Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-02-27,2018-03-10,N
Runnymede Healthcare Centre - 4th Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-27,2018-03-11,N
Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2018-02-26,2018-03-14,N
The Westbury - 4th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,,2018-02-26,2018-03-08,N
Nisbet Lodge,740 Pape Ave,LTCH,Respiratory,Influenza B,,2018-02-24,2018-03-13,N
Chester Villiage - Diamond Unit,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2018-02-23,2018-03-04,N
New Horizons Tower,1140 Bloor St W,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2018-02-23,2018-03-17,N
Sinai Health System - Mount Sinai Hospital -,600 University Ave - 12 South & EXAU,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-23,2018-03-02,N
The Hospital for Sick Children - 8A,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-23,2018-03-02,N
Providence Healthcare - Houses of Providence - 1 West,3276 St Clair Ave E,LTCH,Respiratory,Influenza A and B,,2018-02-22,2018-03-03,N
Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,LTCH,Respiratory,Influenza A (H3),,2018-02-21,2018-03-09,N
Hellenic Care for Seniors - Ground Fl,215 Tyrell Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-21,2018-03-01,N
Holland Bloorview Kids Rehabilitation Hospital - 3 East CCC,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-02-21,2018-02-27,N
West Park Healthcare Centre - ABI,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-02-21,2018-02-27,N
Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 6th Fl,LTCH,Respiratory,Influenza B,,2018-02-21,2018-03-02,N
Centre for Addiction and Mental Health - Queen St - Unit 2-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,,2018-02-20,2018-03-05,N
Humber River Hospital - Reactivation Care Centre - F6E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-20,2018-02-25,N
Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Unable to identify,,2018-02-20,2018-02-26,N
Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Enteric,Norovirus-like,,2018-02-19,2018-02-27,N
Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Enteric,Norovirus-like,,2018-02-19,2018-02-26,N
Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (H3),,2018-02-19,2018-03-13,N
St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-02-19,2018-03-05,N
Tendercare Living Centre - 3 West,1020 McNicoll Ave,LTCH,Respiratory,Influenza B,,2018-02-19,2018-03-01,N
Chartwell Trilogy Long Term Care Residence - 2nd Fl,340 McCowan Rd,LTCH,Respiratory,Influenza A (Not subtyped),,2018-02-18,2018-03-02,N
Runnymede Healthcare Centre - 2nd Fl,625 Runnymede Rd,Hospital-Chronic Care,Enteric,Norovirus-like,,2018-02-18,2018-02-27,N
North York General Hospital - 5N,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-17,2018-02-25,N
North York General Hospital - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-17,2018-02-23,N
Hellenic Home - Scarborough,2411 Lawrence Ave E,LTCH,Respiratory,Influenza B,Metapneumovirus,2018-02-16,2018-03-01,N
Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-16,2018-02-26,N
Mount Sinai Hospital - 11 S,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-16,2018-02-20,N
North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Influenza B,,2018-02-16,2018-03-07,N
Yee Hong Centre for Geriatric Care - McNicoll Site,2311 McNicoll Ave,LTCH,Respiratory,Influenza A and B,,2018-02-16,2018-03-02,N
Amica at Bayview,15 Barberry Pl,Retirement Home,Respiratory,Influenza A (Not subtyped),Influenza B,2018-02-15,2018-03-03,N
Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-15,2018-02-26,N
St. George Care Community,225 St George St,LTCH,Respiratory,Influenza B,,2018-02-15,2018-02-25,N
Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Enteric,Norovirus-like,,2018-02-15,2018-02-28,N
The Scarborough and Rouge Hospital - General Site - CP1,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Norovirus-like,,2018-02-15,2018-02-23,N
Downsview Long Term Care Centre - 2 East,3595 Keele St,LTCH,Respiratory,Influenza B,,2018-02-14,2018-02-26,N
University Health Network - Toronto Rehabilitation Institute,550 University Ave - University Centre - 6 South,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-14,2018-02-25,N
Centre for Addiction and Mental Health - College Site -,250 College St - EPU 10th Fl,Hospital-Psychiatric,Respiratory,Influenza B,,2018-02-13,2018-02-22,N
North York General Hospital - Reactivation Care Centre -,2111 Finch Ave W - 6 West,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-13,2018-02-23,N
True Davidson Acres - 1 West Unit,200 Dawes Rd,LTCH,Respiratory,Influenza B,,2018-02-13,2018-02-22,N
Beach Arms Retirement Residence,505 Kingston Rd,Retirement Home,Respiratory,Influenza B,,2018-02-12,2018-02-24,N
Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,,2018-02-12,2018-02-24,N
Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-02-12,2018-03-01,N
Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2018-02-12,2018-02-27,N
Mon Sheong Scarborough Long Term Care Centre - 3rd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-12,2018-03-06,N
Sagecare,147 Elder St,Retirement Home,Respiratory,Streptococcus pyogenes,,2018-02-12,,Y
Michael Garron Hospital - Cardiology Unit,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,,2018-02-11,2018-02-15,N
Providence Healthcare - Houses of Providence - 1 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-10,2018-02-17,N
St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,Respiratory syncytial virus,2018-02-10,2018-02-19,N
Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,Influenza A (H3),,2018-02-09,2018-02-21,N
Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza B,,2018-02-08,2018-02-26,N
Hillcrest Reactivation Centre - 2nd Fl (Seniors),47 Austin Terr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-02-08,2018-02-17,N
McCall Centre for Continuing Care - 3rd Fl Rehabilitation,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-02-08,2018-02-21,N
Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Enteric,Norovirus-like,,2018-02-07,2018-02-22,N
St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza B,,2018-02-07,2018-02-14,N
Chester Village - Diamond Unit - Ground Fl,3555 Danforth Ave,LTCH,Respiratory,Influenza B,,2018-02-06,2018-02-14,N
Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza B,,2018-02-06,2018-02-28,N
Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Clostridium difficile,Norovirus-like,2018-02-06,2018-02-20,N
Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),,2018-02-06,2018-02-21,N
Harold and Grace Baker Retirement Residence,1 Northwestern Ave,Retirement Home,Respiratory,Influenza A (Not subtyped),Influenza B,2018-02-06,2018-02-22,N
St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,,2018-02-06,2018-02-19,N
The Westbury - 2nd & 6th Fl - Markland Woods,495 The West Mall,LTCH,Enteric,Norovirus-like,,2018-02-06,2018-02-26,N
Baycrest Apotex Centre - Jewish Home For The Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Enterovirus/Rhinovirus,,2018-02-05,2018-02-15,N
Cummer Lodge - 4 North,205 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-22,N
Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-22,N
Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza B,,2018-02-05,2018-02-26,N
Rayoak Place Retirement Residence,1340 York Mills Rd,Retirement Home,Respiratory,Influenza A (H3),,2018-02-05,2018-02-16,N
Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Influenza A and B,,2018-02-05,2018-02-16,N
St. Michael's Hospital - 7 CCV,30 Bond St,Hospital-Acute Care,Respiratory,Influenza B,,2018-02-03,2018-02-11,N
The Scarborough Hospital - Birchmount - 3D,3030 Birchmount RD,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-03,2018-02-11,N
Wesburn Manor,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-02-03,2018-02-16,N
West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-02,2018-02-13,N
Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Influenza B,,2018-02-01,2018-02-17,N
Chartwell Gibson Long Term Care,1925 Steeles Ave E,LTCH,Enteric,Norovirus-like,,2018-02-01,2018-02-12,N
Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza B,Enterovirus/Rhinovirus,2018-02-01,2018-02-26,N
Kensington Gardens - South Building - 1 East & 2 East,25 Brunswick Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2018-02-01,2018-02-16,N
West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-01,2018-02-11,N
Westside,1145 Albion Rd,LTCH,Respiratory,Influenza B,,2018-02-01,2018-02-26,N
Harmony Hill Care Community,1800 O'Connor Dr,LTCH,Respiratory,Influenza B,,2018-01-31,2018-02-14,N
Harold and Grace Baker Centre - 1st Fl,1 Northwestern Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2018-01-31,2018-02-16,N
Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,Influenza B,,2018-01-31,2018-02-21,N
Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,2018-01-30,2018-02-07,N
The Briton House Retirement Centre - North & South Tower,"700 & 720 Mount Pleasant Rd - 6th, 7th, 8th & 9th Fl",Retirement Home,Respiratory,Unable to identify,,2018-01-30,2018-02-14,N
Providence Healthcare - A5 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-29,2018-02-06,N
Trillium Health Partners - Queensway Health Centre -,150 Sherway Dr - Complex Care Unit,Hospital-Acute Care,Enteric,Unable to identify,,2018-01-29,2018-02-05,N
Providence Healthcare - Houses of Providence - HOP 4E -,3276 St Clair Ave E - Juniper House,LTCH,Respiratory,Influenza A (Not subtyped),,2018-01-27,2018-02-07,N
Cedarvale Terrace - 4th Fl,429 Walmer Rd,LTCH,Respiratory,Unable to identify,,2018-01-26,2018-02-15,N
Ivan Franko Home - 3rd Fl,767 Royal York Rd,LTCH,Respiratory,Unable to identify,,2018-01-26,2018-02-06,N
Toronto General Hospital - 14 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,,2018-01-26,2018-02-02,N
Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Enteric,Unable to identify,,2018-01-26,2018-02-03,N
Chartwell Grenadier Retirement Residence,2100 Bloor St W,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-25,2018-02-21,N
St. Michael's Hospital  - 16CN,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-01-25,2018-02-02,N
Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Enteric,Unable to identify,,2018-01-24,2018-02-12,N
Belmont House - 2WW,55 Belmont St,LTCH,Enteric,Unable to identify,,2018-01-24,2018-02-05,N
"Fudger House - 1 East, 2 East & 2 West Units",439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-01-24,2018-02-08,N
Lakeshore Lodge - 2 North & 2 South,3197 Lake Shore Blvd W,LTCH,Enteric,Norovirus-like,,2018-01-24,2018-02-03,N
"Castleview Wychwood Towers - 4th, 5th & 6th Fl",351 Christie St,LTCH,Respiratory,Influenza B,,2018-01-23,2018-02-16,N
West Park Long Term Care,82 Buttonwood Ave,LTCH,Respiratory,Influenza B,,2018-01-23,2018-02-08,N
"Castleview Wychwood Towers - 2nd, 5th & 7th Fl",351 Christie St,LTCH,Enteric,Norovirus-like,,2018-01-22,2018-02-13,N
Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-22,2018-02-14,N
Kingsway Retirement Home - Memory Care Fl,4251 Dundas St W,Retirement Home,Respiratory,Influenza A (H3),,2018-01-22,2018-01-31,N
North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Influenza A (Not subtyped),,2018-01-22,2018-02-06,N
Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-22,2018-02-02,N
Sunnybrook Health Science Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-22,2018-01-31,N
Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,Coronavirus,2018-01-22,2018-02-20,N
Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Influenza B,,2018-01-22,2018-02-16,N
West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-22,2018-02-06,N
West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-22,2018-02-01,N
Weston Terrace Care Community - 1A & 3A,2005 Lawrence Ave W,LTCH,Enteric,Unable to identify,,2018-01-22,2018-02-16,N
Yee Hong Centre - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-22,2018-02-14,N
Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3,Hospital-Psychiatric,Respiratory,Influenza A ((H1N1)pdm09),,2018-01-21,2018-01-29,N
Extendicare Guildwood - East Wing,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-01-21,2018-02-12,N
Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza B,,2018-01-21,2018-02-07,N
Seaton House - 4th Fl,339 George St,Shelter,Respiratory,Influenza A (Not subtyped),,2018-01-21,2018-02-12,N
Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Influenza A (H3),,2018-01-20,2018-01-31,N
Extendicare Rouge Valley - Highland Creek House,551 Conlins Rd,LTCH,Respiratory,Unable to identify,,2018-01-20,2018-01-29,N
Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,,2018-01-20,2018-02-14,N
Sagecare,147 Elder St,Retirement Home,Respiratory,Influenza B,,2018-01-19,2018-01-29,N
Vermont Square - 6th Fl,914 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),Respiratory syncytial virus,2018-01-19,2018-02-07,N
Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Influenza B,,2018-01-19,2018-02-04,N
Centre for Addiction and Mental Health - Unit 1-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),,2018-01-18,2018-01-29,N
The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-18,2018-02-13,N
Carefree Lodge - 1st Fl,306 Finch Ave E,LTCH,Respiratory,Influenza B,,2018-01-17,2018-01-25,N
Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,,2018-01-17,2018-01-30,N
Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),,2018-01-17,2018-02-05,N
West Park Healthcare Centre - 3EB,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-17,2018-01-23,N
Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,,2018-01-16,2018-01-31,N
Cheltenham Care Community,5935 Bathurst St,LTCH,Respiratory,Influenza A (H3N2),,2018-01-16,2018-01-29,N
Deerwood Creek Care Community - 2B & 3A,70 Humberline Dr,LTCH,Respiratory,Unable to identify,,2018-01-16,2018-02-12,N
Mackenzie Health - RCC 4E,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-01-16,2018-01-25,N
McCall Centre for Continuing Care - Interim LTC Unit,140 Sherway Dr - 2nd & 4th Fl,LTCH,Respiratory,Influenza B,,2018-01-16,2018-01-31,N
Providence Healthcare - A4 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-01-16,2018-01-27,N
